Model,Feature_Selector,k,Scaler,Score,Trainingstime,Fittime
RM,kBest,30,quantil,0.32666666666666666,0.00017309188842773438,0.3065671920776367
RM,kBest,60,standard,0.4633333333333333,0.00017690658569335938,0.4032478332519531
RM,kBest,60,minmax,0.43333333333333335,0.00018358230590820312,0.4129340648651123
RM,kBest,60,quantil,0.42,0.00018215179443359375,0.3379020690917969
RM,kBest,90,standard,0.53,0.00017642974853515625,0.35855913162231445
RM,kBest,90,minmax,0.5266666666666666,0.0001709461212158203,0.3543665409088135
RM,kBest,90,quantil,0.53,0.00017213821411132812,0.3484334945678711
RM,kBest,100,standard,0.5033333333333333,0.00025391578674316406,0.3779866695404053
RM,kBest,100,minmax,0.5166666666666667,0.00017309188842773438,0.375291109085083
RM,kBest,100,quantil,0.54,0.00017023086547851562,0.35805463790893555
RM,kBest,120,standard,0.52,0.00017595291137695312,0.3770291805267334
RM,kBest,120,minmax,0.4633333333333333,0.0001723766326904297,0.3788740634918213
RM,kBest,120,quantil,0.53,0.00017333030700683594,0.37400150299072266
RM,kBest,140,standard,0.5366666666666666,0.0001780986785888672,0.3949921131134033
RM,kBest,140,minmax,0.51,0.00018453598022460938,0.39511823654174805
RM,kBest,140,quantil,0.5166666666666667,0.00017690658569335938,0.3963658809661865
RM,kBest,200,standard,0.5733333333333334,0.00017452239990234375,0.4546480178833008
RM,kBest,200,minmax,0.55,0.0001800060272216797,0.4478161334991455
RM,kBest,200,quantil,0.5433333333333333,0.0001742839813232422,0.4522511959075928
RM,kBest,300,standard,0.42,0.00017881393432617188,0.4960293769836426
RM,kBest,300,minmax,0.5566666666666666,0.00019478797912597656,0.47972583770751953
RM,kBest,300,quantil,0.5966666666666667,0.00018262863159179688,0.49037647247314453
RM,kBest,400,standard,0.5,0.0001785755157470703,0.5223965644836426
RM,kBest,400,minmax,0.5866666666666667,0.00019550323486328125,0.5363180637359619
RM,kBest,400,quantil,0.5566666666666666,0.00023674964904785156,0.5390417575836182
RM,kBest,500,standard,0.5266666666666666,0.00022745132446289062,0.5712709426879883
RM,kBest,500,minmax,0.5166666666666667,0.00019168853759765625,0.5524775981903076
RM,kBest,500,quantil,0.5166666666666667,0.0001773834228515625,0.5657272338867188
RM,kBest,600,standard,0.5066666666666667,0.00024700164794921875,0.6141467094421387
RM,kBest,600,minmax,0.5533333333333333,0.00018644332885742188,0.6005642414093018
RM,kBest,600,quantil,0.5833333333333334,0.0001881122589111328,0.5891408920288086
RM,kBest,750,standard,0.53,0.0001926422119140625,0.6532816886901855
RM,kBest,750,minmax,0.5433333333333333,0.00019073486328125,0.6539177894592285
RM,kBest,750,quantil,0.5133333333333333,0.00019979476928710938,0.6418092250823975
RM,PCA,10,standard,0.15,0.00032711029052734375,0.45583224296569824
RM,PCA,10,minmax,0.14333333333333334,0.00025200843811035156,0.4385347366333008
RM,PCA,10,quantil,0.16666666666666666,0.0002562999725341797,0.43396902084350586
RM,PCA,30,standard,0.23333333333333334,0.0003266334533691406,0.6123239994049072
RM,PCA,30,minmax,0.25666666666666665,0.00031375885009765625,0.5803341865539551
RM,PCA,30,quantil,0.23333333333333334,0.0003120899200439453,0.5715179443359375
RM,PCA,60,standard,0.20666666666666667,0.0002493858337402344,0.757072925567627
RM,PCA,60,minmax,0.22666666666666666,0.0002892017364501953,0.7521557807922363
RM,PCA,60,quantil,0.22333333333333333,0.0002818107604980469,0.7130916118621826
RM,PCA,90,standard,0.23333333333333334,0.00034165382385253906,0.942267894744873
RM,PCA,90,minmax,0.22,0.00033020973205566406,0.9142241477966309
RM,PCA,90,quantil,0.19,0.00021028518676757812,0.9674992561340332
RM,PCA,100,standard,0.23666666666666666,0.00024700164794921875,1.1943981647491455
RM,PCA,100,minmax,0.18666666666666668,0.0003228187561035156,1.0596261024475098
RM,PCA,100,quantil,0.19333333333333333,0.00017547607421875,0.8929522037506104
RM,PCA,120,standard,0.19,0.0003497600555419922,1.01790452003479
RM,PCA,120,minmax,0.18333333333333332,0.0003204345703125,1.0137157440185547
RM,PCA,120,quantil,0.16666666666666666,0.00020766258239746094,0.9711072444915771
RM,PCA,140,standard,0.17666666666666667,0.0003399848937988281,1.1741228103637695
RM,PCA,140,minmax,0.16333333333333333,0.0002541542053222656,1.103848934173584
RM,PCA,140,quantil,0.16666666666666666,0.00018906593322753906,1.0674681663513184
RM,PCA,200,standard,0.15666666666666668,0.0003101825714111328,1.491077184677124
RM,PCA,200,minmax,0.14666666666666667,0.00034880638122558594,1.450589895248413
RM,PCA,200,quantil,0.17,0.00017404556274414062,1.3993704319000244
RM,PCA,300,standard,0.10333333333333333,0.00034427642822265625,1.8050284385681152
RM,PCA,300,minmax,0.16666666666666666,0.0002608299255371094,1.7681000232696533
RM,PCA,300,quantil,0.18666666666666668,0.0001876354217529297,1.7568292617797852
RM,PCA,400,standard,0.13,0.0003337860107421875,2.0902225971221924
RM,PCA,400,minmax,0.11333333333333333,0.0003345012664794922,2.1273233890533447
RM,PCA,400,quantil,0.10333333333333333,0.00018787384033203125,2.004599094390869
RM,PCA,500,standard,0.07666666666666666,0.0003504753112792969,2.4238061904907227
RM,PCA,500,minmax,0.1,0.00033211708068847656,2.4764280319213867
RM,PCA,500,quantil,0.10666666666666667,0.0002033710479736328,2.37463116645813
RM,PCA,600,standard,0.1,0.0002541542053222656,2.884725332260132
RM,PCA,600,minmax,0.1,0.00036025047302246094,2.7806999683380127
RM,PCA,600,quantil,0.10666666666666667,0.0001800060272216797,2.7918431758880615
RM,PCA,750,standard,0.07,0.0003523826599121094,3.4202325344085693
RM,PCA,750,minmax,0.06333333333333334,0.0003247261047363281,3.448178768157959
RM,PCA,750,quantil,0.07333333333333333,0.00029015541076660156,3.2856616973876953
