n_neighbors,p,weights,algorithm,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
10,1,uniform,brute,0.0017850399017333984,10.371157884597778,9,0.8852630699820122,0.012914890236433824,81,21263,6379,14884
10,1,uniform,kd_tree,0.07281684875488281,5.012170076370239,9,0.8853264911469334,0.012907751494064678,81,21263,6379,14884
10,1,uniform,ball_tree,0.07662820816040039,9.786111116409302,9,0.8853094520612352,0.0129096694286084,81,21263,6379,14884
10,2,uniform,brute,0.0020749568939208984,2.4425840377807617,9,0.8801930512342907,0.013485576027078729,81,21263,6379,14884
10,2,uniform,kd_tree,0.07561111450195312,3.4452579021453857,9,0.8801842939315504,0.013486561756814047,81,21263,6379,14884
10,2,uniform,ball_tree,0.08149909973144531,9.096850872039795,9,0.8800649687476223,0.013499993104965267,81,21263,6379,14884
5,1,uniform,brute,0.0016009807586669922,10.119493961334229,10,0.8952491122386675,0.011821288681902128,81,21263,6379,14884
5,1,uniform,kd_tree,0.07254600524902344,3.5210299491882324,10,0.8957810398177417,0.011761259887831879,81,21263,6379,14884
5,1,uniform,ball_tree,0.08153200149536133,9.161859273910522,10,0.8954012147106051,0.011804123698688797,81,21263,6379,14884
5,2,uniform,brute,0.0016560554504394531,2.073700189590454,10,0.8922721644758148,0.01215724152819978,81,21263,6379,14884
5,2,uniform,kd_tree,0.07204008102416992,2.4739091396331787,10,0.8930163020352403,0.012073264531946936,81,21263,6379,14884
5,2,uniform,ball_tree,0.08086705207824707,9.579298973083496,10,0.8924969467503795,0.012131874524492296,81,21263,6379,14884
10,1,uniform,brute,0.0018050670623779297,10.258739948272705,10,0.8821921150210389,0.013294789639527021,81,21263,6379,14884
10,1,uniform,kd_tree,0.07336592674255371,5.197840213775635,10,0.8817908797688025,0.013340069616121105,81,21263,6379,14884
10,1,uniform,ball_tree,0.07763504981994629,9.667702913284302,10,0.8819352332800028,0.013323779114297076,81,21263,6379,14884
10,2,uniform,brute,0.001867055892944336,2.251085042953491,10,0.8786004201370948,0.013700117584595637,81,21263,6379,14884
10,2,uniform,kd_tree,0.07096099853515625,3.5721819400787354,10,0.8783078828617505,0.01373313083780969,81,21263,6379,14884
10,2,uniform,ball_tree,0.07344222068786621,8.677729845046997,10,0.8786869096094484,0.013690357122966262,81,21263,6379,14884
