n_estimators,criterion,max_features,train_time,inference_time,score,accuracy,f1,recall,precision
29,gini,sqrt,1.7227180004119873,0.01898336410522461,-0.020581113801452784,0.9514946418499718,0.758471354529672,0.705901186640786,0.8600811884306486
29,gini,log2,1.359086513519287,0.021020889282226562,0.03753026634382567,0.949238578680203,0.7393703205237094,0.6855426930542493,0.8551449747203922
29,entropy,sqrt,1.9105796813964844,0.019105911254882812,0.15677966101694915,0.9475465313028765,0.7204915879137178,0.6654868629059691,0.8563602869885593
29,entropy,log2,1.5068254470825195,0.018991708755493164,0.03753026634382567,0.949238578680203,0.7393703205237094,0.6855426930542493,0.8551449747203922
30,gini,sqrt,1.7831330299377441,0.019986391067504883,0.09806295399515738,0.949238578680203,0.7366310160427807,0.6817131250875472,0.8591855704764353
30,gini,log2,1.3832581043243408,0.021008729934692383,0.03389830508474576,0.9458544839255499,0.7130294038305908,0.6607493046244972,0.840062440469891
30,entropy,sqrt,1.9500329494476318,0.017996788024902344,0.5230024213075061,0.9503666102650874,0.7250697792438466,0.6631706121305505,0.9020672567244397
30,entropy,log2,1.59700608253479,0.022014379501342773,0.27421307506053266,0.9441624365482234,0.6853593611357587,0.6330343385428131,0.8495517640254482
31,gini,sqrt,1.9520869255065918,0.022043466567993164,0.0986682808716707,0.9498025944726453,0.7409192779095828,0.685845356492506,0.8614419147694103
31,gini,log2,1.4669618606567383,0.024081945419311523,-0.08777239709443099,0.9452904681331077,0.7146457649250946,0.6642762091529426,0.8301246607017191
31,entropy,sqrt,2.0012259483337402,0.018983840942382812,0.21973365617433413,0.9498025944726453,0.7353789033611543,0.6781862205591019,0.870434312338797
31,entropy,log2,1.5627927780151367,0.020981550216674805,0.09564164648910412,0.9469825155104343,0.7190079579174534,0.6651841994677126,0.849444385649275
32,gini,sqrt,1.8979499340057373,0.025005340576171875,0.09745762711864407,0.9486745628877609,0.7322965423524084,0.6775808936825887,0.8568613652357495
32,gini,log2,1.3927247524261475,0.022014141082763672,0.036924939467312345,0.9486745628877609,0.7350972392109216,0.6814104616492906,0.8528166958552248
32,entropy,sqrt,2.053118944168091,0.01994609832763672,0.3407990314769976,0.9498025944726453,0.7295815632127967,0.6705270846256979,0.8808943816207035
32,entropy,log2,1.6212611198425293,0.02103257179260254,0.4013317191283293,0.9498025944726453,0.7265808966861598,0.6666975166589959,0.8867846778874057
